Time-ModelFit,Pre-Loss,Time-AgentEval,AverageDiscountedReturn,n_timesteps,AvgModelEpochTime,StdReturn,Itr,Eval-AverageReturn,Time-EnvSampling,Epochs,Post-Loss,MaxReturn,Time,Time-EnvSampleProc,NumTrajs,ItrTime,EnvExecTime,AverageReturn,MinReturn,PolicyExecTime
85.38579058647156,0.018010454,70.80238437652588,60.10067980303215,21000,0.8537409138679505,50.329492856968756,20,129.48,26.678523063659668,99,0.016604094,200.0,2715.303225517273,0.0005125999450683594,11,182.86731100082397,0.14864706993103027,103.18181818181819,36.0,26.51246190071106
91.21455407142639,0.019262819,63.076862812042236,67.06515202203404,22000,0.9120279169082641,20.574012734515353,21,109.68,25.874417066574097,99,0.017790096,133.0,2895.5471663475037,0.0004773139953613281,10,180.1664206981659,0.14445781707763672,112.9,58.0,25.71298599243164
94.03223872184753,0.018466346,55.03126049041748,66.67901392592879,23000,0.9402009534835816,48.86489310105751,22,102.0,28.71826481819153,99,0.016696263,200.0,3073.4065885543823,0.0009560585021972656,9,177.78282594680786,0.15414690971374512,119.66666666666667,68.0,28.54552149772644
100.34363508224487,0.018218493,65.44860124588013,62.82936741353145,24000,1.0033135724067688,56.99079414505426,23,122.28,22.50774908065796,99,0.018051043,200.0,3261.793320417404,0.0008726119995117188,9,188.30096697807312,0.12239623069763184,113.77777777777777,32.0,22.370643615722656
103.22689938545227,0.019160174,57.964351654052734,59.35062012492392,25000,1.0321439552307128,44.634604668175314,24,110.36,28.446131706237793,99,0.017546872,200.0,3451.508718729019,0.0010008811950683594,11,189.63850474357605,0.1553201675415039,98.45454545454545,45.0,28.27289128303528
106.1040632724762,0.017721018,73.82485437393188,50.292223870282484,26000,1.060920796394348,46.12935247500569,25,130.84,25.175056219100952,99,0.01570812,171.0,3656.6913001537323,0.0005068778991699219,13,205.10457968711853,0.14030027389526367,79.07692307692308,23.0,25.01809573173523
111.96520924568176,0.01834252,65.64273524284363,59.71914548719394,27000,1.119531135559082,58.56697021359394,26,122.0,27.2665536403656,99,0.017244771,200.0,3861.6438858509064,0.0005245208740234375,10,204.87513089179993,0.14978671073913574,105.9,28.0,27.099406480789185
115.39687085151672,0.018895648,62.59978151321411,55.09320986961328,28000,1.1538497638702392,42.57762518819793,27,119.92,31.75599980354309,99,0.017473752,165.0,4071.489268541336,0.0011587142944335938,12,209.75393772125244,0.17498540878295898,88.75,25.0,31.561007261276245
121.40532779693604,0.01910811,63.939943075180054,60.216500460113494,29000,1.2139304709434509,72.00308635360324,28,109.04,24.97735285758972,99,0.016708672,200.0,4281.890567302704,0.0009150505065917969,9,210.32365155220032,0.13683676719665527,116.0,31.0,24.823604583740234
124.14781022071838,0.01889656,61.805174589157104,68.85498068548783,30000,1.2413568449020387,45.120498390421176,29,113.8,27.027563333511353,99,0.01710394,200.0,4494.949344873428,0.00044727325439453125,8,212.9810996055603,0.14785456657409668,125.875,70.0,26.862595319747925
